Description,Link
paox33wet skin 💦✨inspired by @amandakhamkaew 💕——————brows @milkmakeup kush fiber brow in dutch #milkmakeup lips @glossier lip gloss in clear transparent #glossier concealer @milanicosmetics #milanicosmetics conceal + perfect in medium beige highlighter @hudabeauty #hudabeautynymph in luna topped off with @pixibeauty subtle sunrise #pixibeauty blush @toofaced fruit cocktail blush duo in papaya pop #toofaced luminous dewy mist @tatcha #tatcha #paox3340w,https://www.instagram.com/p/BzbSGBLh8Tb/
"paox33for a light or full coverage look @esteelauder #doublewear foundation is on top of the list 🙌. it has medium-to-buildable coverage and comes in both liquid and powder so it’s perfect for all skin types.i like to apply double wear matte powder on top of the liquid, or wear alone for a natural finish. #esteepartner53w",https://www.instagram.com/p/Bv971Uxn3bk/
paox33easy fall makeup✨ only using 2 shadows 🤭 & 2 lipstick choices 🤗 which one was your fave ?face mist @bliss rose gold rescue #blissface oil @farsalicare rose gold elixir #farsalicarebrow gel @urbandecaycosmetics brow finish #urbandecay eyebrow pencil @fentybeauty beauty brow mvp in medium brown #fentybeautyconcealer @tartecosmetics#tarteshapetapeeyeshadow palette @wander_beauty “avenue “wanderess rush and @artistcouture midnight maven shade “frisky”translucent powder @hudabeauty #easybake in shade banana bread contour @sirjohn x @luminesscosmetics blush @colourpopcosmetics super shock cheek in “thks fr th mmrs” #colourpop #colourpopcosmetics highlighter @bareminerals1st lip combolip liner @lagirlcosmetics vamplipstick @hudabeautyshop “ladies night “2nd lip combo @sirjohn x  @luminesscosmetics “trouble “#paox3329w,https://www.instagram.com/p/B2pRPyPlosK/
"paox33this is what using an eyeshadow as a highlighter looks like 💥😍eyeshadow palette :@glowdupcosmetics #intothesunpalette lashes : @lillylashes ""goddess ""facial spray : @dermalogica foundation : @lauramercier flawless fusion in golden used a @beautyblender to applyconcealer: @urbandecaycosmetics #urbandecay all nighter concealer shade med-lighttranslucent powder : @lauramercier #lauramercier highlighter : @kikomilanousa eyeshadow 208bronzer : @kikomilanousa duo bronzer 02 lips : @shophudabeauty @hudabeauty #hudabeautyliquidmatte icon and gossip gurl#paox33 #hairmakeupdiary #wakeupandmakeup #melformakeup #makeuptutorials #1minutemakeup #makeupvideos #hairmakeupdiary #maquiagem #makeupclips #hudabeauty #universomakeup #peachyqueenblog #makegirlz #fakeupfix #shophudabeauty #maryhadalittleglam #beautyvideo #makeupjunkie #makeupvideoss #kikomilano #stylevideo #linerandbrowsss125w",https://www.instagram.com/p/BbkaZLxgw-n/
"paox33today's makeup ❄️leave me a ""😈""if you want a ig tutorial on this look foundation : @shophudabeauty #hudabeautyfauxfilter in amaretti eyes : @toofaced sweet peach palette #toofacedcosmetics lashes : @eyerisbeauty ""athena "" bronzer : @benefitcosmetics #benefitcosmetics #hoolabronzer highlighter: @kikomilanousa artic holiday stick highlighter in golden crystals lips : @kikomilanousa atic holiday matte lipstick in 05 topped off with @hudabeauty #shophudabeauty metallic lip gloss in charmedglitter on the inner corner : @urbandecaycosmetics heavy metal in grind #paox33 #hudabeauty #wakeupandmakeup #motd #makeup #eyerisbeauty #kikomilano #makeuptransformation #makeupjunkie122w",https://www.instagram.com/p/BcgCsBWgzXk/
"paox33matte eyes and glossy lips 😋 featuring my baby hairs👶🏻🙃eyes : @urbandecaycosmetics #urbandecay #nakedheatpalette lashes : @lillylashes #lillylashes ""lush"" mascara : @eyeko #eyekolashalertmascara lips : @doseofcolors ""knock on wood "" topped off with @beccacosmetics #beccaglowgloss opal x jadefoundation : @frankierosecosmetics #frankierosecosmetics shade ""gold"" coupon code for discount (paox) brows : @benefitcosmetics #benefitbrows kabrow 04bronzer : @benefitcosmetics #hoolabronzer highlighter : @kikomilanousa glow fusion shade ""03"" used it on the inner corner of the eye as well #kikomilano #paox33 #hudabeauty #wakeupandmakeup #vegas_nay #motd #makeup #lillyghalichi139w",https://www.instagram.com/p/BXlJRM9ADH-/
paox33no foundation makeup look💥thank you so much for the love on my recent igtv video! so glad you guys are loving them 😬☺️moisturizer @tatcha the dewy skin cream  #tatcha primer and eye cream @olehenriksen banana bright beauty sponge @wander_beauty concealer dualist concealer in shade medium @wander_beauty bronzer @bhcosmetics brilliance bronzer in coco cutie highlighter @wetnwildbeauty i’m so lit lashes @hudabeauty x @oliviaculpo #hudabeauty eyeshadow @jillstuartbeautyus jelly eye color dark glint eyeliner @benefitcosmetics roller liner #benefitcosmetics liquid lip @lorealmakeup shade explore lip cream  @buxomcosmetics plumping lip cream “seychelles “t-shirt is from @bershkacollection#paox33 #makeuptutorial #nofoundation54w,https://www.instagram.com/p/BvevyVElEzM/
paox33loving the new @maybelline fit me loose finishing powder😍🙌 i am in shade  30 #maybelline #fitmefoundation #ad137w,https://www.instagram.com/p/BYQxaukAr37/
"paox33car selfies 👀eyes : @urbandecaycosmetics naked heat palette lashes : @shophudabeauty ""marilyn ""lips : @hudabeauty #hudabeautyliquidmatte trendsetter and jetsetter on the center highlighter: @hourglasscosmetics #metallicstrobe #paox33 #wakeupandmakeup #motd #hudabeauty #alyakattan #makeup134w",https://www.instagram.com/p/BZHkv1UA8xT/
paox33back at it with them makeup videos 😬💃🏻1 eyeshadow makeup look 👀 🤫lashes are key to this type of look they make a huge difference 😱🤩faceface oil @byterryofficial #byterrymakeup primer @smashboxcosmetics @nicolconcilio so chill coconut primer water #smashbox foundation @coverfx  power play #coverfx liquid highlighter @lancomeofficial custom highlight drop #lancomeconcealer #lancome teint idole ultra wear translucent powder @dermablendpro #dermablend bronzer @toofaced dark chocolate solei #toofaced blush @lancomeofficial highlighter @coverfx eyes@syzygycosmetics comet crush  palette lashes @lillylashes “mink miami “ brows @benefitcosmetics #benefitcosmetics #benefitbrows goof proof number 4 and gime brow lips @hudabeauty #hudabeautyliquid matte “trendsetter “ topped off with @fentybeauty #fentybeauty lip gloss #paox33 #wakeupandmakeup #hudabeauty #lashes #makeuptutorial #makeupvideoss #hairmakeupdiary #allmodernmakeup #fentyglossbomb #highlighter #makeuptransformation #glowyskin #stylevideo #makeuplover #makeupjunkie #peachyqueenblog #maryhadalittleglam #hypnaughtypower #fakeuproom #makeupforbarbies103w,https://www.instagram.com/p/BhuyD8zAxSk/
